59.89, 744, 1291.13, 11.00, 20, 21, 0.00, 8.93, 15.89
57.75, 793, 1231.76, 11.00, 20, 21, 0.00, 8.54, 7.75
50.97, 904, 1100.58, 12.00, 24, 16, 0.00, 8.41, 7.06
46.86, 910, 956.75, 10.00, 35, 16, 0.00, 9.12, 7.68
40.73, 925, 804.08, 9.00, 46, 14, 0.00, 15.33, 8.08
39.40, 859, 770.38, 8.00, 52, 16, 0.00, 17.60, 7.98
41.05, 833, 758.74, 7.00, 51, 22, 0.00, 18.85, 8.66
42.68, 822, 746.80, 7.00, 52, 24, 0.00, 17.88, 8.73
47.69, 724, 800.44, 7.00, 49, 32, 0.00, 17.06, 12.56
42.71, 766, 702.15, 12.00, 54, 30, 0.00, 15.57, 11.70
42.69, 730, 690.87, 12.00, 56, 29, 0.00, 15.36, 11.60
50.28, 657, 826.94, 13.00, 43, 35, 0.00, 6.99, 12.18
62.39, 512, 998.76, 14.00, 30, 45, 0.00, 6.90, 13.05
68.32, 428, 1036.73, 15.00, 24, 54, 0.00, 6.28, 13.57
71.35, 389, 1020.54, 14.00, 23, 66, 0.00, 6.51, 17.00
77.38, 304, 1016.50, 12.00, 17, 89, 0.00, 6.60, 23.03
78.89, 274, 996.00, 11.00, 18, 96, 0.00, 4.42, 30.64
83.29, 142, 1002.52, 6.00, 21, 110, 0.00, 7.30, 34.63
90.08, 68, 978.24, 5.00, 16, 135, 0.00, 6.51, 35.33
91.62, 32, 924.22, 4.00, 16, 154, 0.00, 6.51, 41.60
92.01, 28, 836.13, 3.00, 16, 167, 0.00, 7.01, 50.35
93.26, 21, 728.14, 1.00, 14, 184, 0.00, 0.00, 0.00
93.26, 21, 742.10, 1.00, 14, 178, 0.00, 0.00, 0.00
87.74, 70, 759.25, 1.00, 19, 154, 0.00, 1.47, 0.00
82.21, 129, 764.54, 2.00, 27, 137, 0.00, 0.00, 85.05
77.73, 279, 745.85, 1.00, 20, 127, 0.00, 2.95, 0.00
67.37, 432, 700.66, 2.00, 26, 101, 0.00, 12.59, 7.42
60.36, 536, 683.55, 3.00, 31, 75, 0.00, 11.30, 6.07
57.99, 578, 767.87, 4.00, 33, 60, 0.00, 10.15, 7.29
57.99, 578, 835.88, 4.00, 33, 52, 0.00, 10.15, 18.80
57.99, 578, 748.96, 4.00, 33, 62, 0.00, 10.15, 31.48
63.53, 529, 694.47, 4.00, 27, 88, 0.00, 11.33, 44.34
65.23, 504, 667.65, 4.00, 24, 93, 0.00, 10.97, 54.36
